Quantidade;DataHoraProducaoAux;cd_Referencia;ds_Prod;qtdItem;dt_LimiteEntrega;cdEnt;Nome;Apelido;dt_Pedido;cdPedido;ds_potencia;PotenciaKVA;nrofasesTrafo;ds_classeTensaoTrafo;dt_criacao;NroRevisao;dt_Revisao;ds_TensaoTrafo;ds_TensaoTrafoSec;ds_TapsTrafo;cd_SglEstado;DiaSemana;SemanaAno;Ano;Mes;ds_TpEnrolamentoNucleo;Ds_tpConstrTrafo;Dia;cd_TpEnrolamentoNucleo;ds_TensaoTrafoDesp;QtdProduzida;TotalJC;TotalAM;TotalEMP;TotalEMPLM;TotalENR;TotalSL;cdEntEmpDesti;SeqPlano;QtdAproduzirTotal;QtdAproduzir;Data_Snapshot
5;2026-08-18;TPD-398911;TRANSFORMADOR 10kVA 36,2kV 1F 240/120V 21651V                                                                           ;10;2026-09-01;11450;Energisa Acre Distribuidora de Energia S.A;EAC -  Energisa AC;2026-05-21 09:58:41;68195;10 kVA    ;10.0;MON;36,2kV         ;2025-06-14;0;;21.651 / 20.785 / 19.919 / 19.053 / 18.187 V                          ;240/120V                                                              ;5              ;AC;TER;34;2026;8;JC                                      ;Selado              ;18;2;19919V                                                                ;0;5;0;0;0;0;0;1;160.0;10;5;2026-08-25
10;2026-08-18;TPD-402969;TRANSFORMADOR 45kVA 15kV 3F 380/220V 13800V                                                                             ;130;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;45 kVA    ;45.0;TRI;15kV           ;2025-01-30;0;;13.800 / 13.200 / 12.600 V                                            ;380/220V                                                              ;3              ;MA;TER;34;2026;8;EMP                                     ;Selado              ;18;3;13800V                                                                ;0;0;0;10;0;0;0;1;168.0;130;10;2026-08-25
10;2026-08-18;TPD-410181;TRANSFORMADOR 37,5kVA 15kV 1F 220V 7967V                                                                                ;45;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;37,5 kVA  ;37.5;MON;15kV           ;2025-05-21;0;;7.967 / 7.621 / 7.275 V                                               ;220V                                                                  ;3              ;MA;TER;34;2026;8;JC                                      ;Selado              ;18;2;7967V                                                                 ;0;10;0;0;0;0;0;1;317.0;45;10;2026-08-25
4;2026-08-18;TPD-415093;TRANSFORMADOR 10kVA 15kV 2F 254/127V 13200V                                                                             ;5;2026-09-20;146343;LUNERGI INSTALACOES ELETRICAS LTDA;LUNERGI INSTALACOES ELETRICAS LTDA;2026-06-30 07:49:00;69694;10 kVA    ;10.0;BIF;15kV           ;2025-09-18;0;;13.200 V                                                              ;254/127V                                                              ;1              ;PR;TER;34;2026;8;JC                                      ;Selado              ;18;2;13200V                                                                ;0;4;0;0;0;0;0;1;159.0;5;4;2026-08-25
10;2026-08-18;TPD-420691;TRANSFORMADOR 10kVA 15kV 1F 254/127V 8660V                                                                              ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;10 kVA    ;10.0;MON;15kV           ;2025-10-28;0;;8.660 / 8.314 / 7.967 / 7.621 / 7.275 V                               ;254/127V                                                              ;5              ;MT;TER;34;2026;8;JC                                      ;Selado              ;18;2;7967V                                                                 ;0;10;0;0;0;0;0;1;157.0;10;10;2026-08-25
10;2026-08-18;TPD-420704;TRANSFORMADOR 15kVA 15kV 1F 254/127V 8660V                                                                              ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;15 kVA    ;15.0;MON;15kV           ;2025-10-29;0;;8.660 / 8.314 / 7.967 / 7.621 / 7.275 V                               ;254/127V                                                              ;5              ;MT;TER;34;2026;8;JC                                      ;Selado              ;18;2;7967V                                                                 ;0;10;0;0;0;0;0;1;161.0;10;10;2026-08-25
12;2026-08-18;TPD-423496;TRANSFORMADOR 112,5kVA 15kV 3F 380/220V 13800V                                                                          ;30;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;112,5 kVA ;112.5;TRI;15kV           ;2025-11-06;0;;13.800 / 13.200 / 12.600 V                                            ;380/220V                                                              ;3              ;MT;TER;34;2026;8;EMP                                     ;Selado              ;18;3;13800V                                                                ;0;0;0;12;0;0;0;1;171.0;30;12;2026-08-25
1;2026-08-18;TPD-424098;TRANSFORMADOR 30kVA 15kV 3F 220/127V 14400V                                                                             ;5;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;30 kVA    ;30.0;TRI;15kV           ;2025-11-28;0;;14.400 / 13.800 / 13.200 / 12.600 V                                   ;220/127V                                                              ;4              ;MT;TER;34;2026;8;JC                                      ;Selado              ;18;2;13800V                                                                ;0;1;0;0;0;0;0;1;165.0;5;1;2026-08-25
8;2026-08-18;TPD-435783;TRANSFORMADOR 45kVA 15kV 3F 220/127V 14400V                                                                             ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;45 kVA    ;45.0;TRI;15kV           ;2026-06-24;0;;14400/13800/13200/12600V                                              ;220/127V                                                              ;4              ;MT;TER;34;2026;8;EMP                                     ;Selado              ;18;3;13800V                                                                ;0;0;0;8;0;0;0;1;167.0;10;8;2026-08-25
54;2026-08-18;TPD-437002;TRANSFORMADOR 5kVA 15kV 1F 240/120V 7967V                                                                               ;800;2026-09-14;153945;NORTE TECH SERVICOS EM ENERGIA LTDA;NORTE TECH;2026-06-19 16:51:39;69406;5 kVA     ;5.0;MON;15kV           ;2026-07-14;1;2026-07-30;7.967/7.621/7.274/6.928/6.582/6.235/5.888 V                           ;240/120V                                                              ;7              ;AM;TER;34;2026;8;JC                                      ;Selado              ;18;2;7.967 V                                                               ;0;54;0;0;0;0;0;1;158.0;800;54;2026-08-25
